Day,L,M,S,SD4neg,SD3neg,SD2neg,SD1neg,SD0,SD1,SD2,SD3,SD4
91,0.3933,13.4779,0.07474,9.763,10.658,11.554,12.493,13.478,14.508,15.585,16.709,17.833
92,0.3916,13.49,0.07476,9.771,10.668,11.564,12.504,13.49,14.522,15.6,16.725,17.851
93,0.39,13.502,0.07478,9.78,10.677,11.574,12.515,13.502,14.535,15.614,16.742,17.869
94,0.3884,13.5139,0.0748,9.788,10.686,11.584,12.526,13.514,14.548,15.629,16.758,17.887
95,0.3868,13.5258,0.07481,9.797,10.696,11.594,12.537,13.526,14.561,15.643,16.774,17.904
96,0.3852,13.5375,0.07483,9.805,10.705,11.604,12.548,13.538,14.574,15.658,16.79,17.922
97,0.3836,13.5492,0.07485,9.814,10.714,11.613,12.558,13.549,14.587,15.672,16.806,17.94
98,0.3821,13.5607,0.07486,9.822,10.723,11.623,12.569,13.561,14.599,15.686,16.821,17.956
99,0.3805,13.5722,0.07488,9.831,10.732,11.633,12.579,13.572,14.612,15.7,16.837,17.974
100,0.379,13.5836,0.0749,9.839,10.74,11.642,12.59,13.584,14.625,15.714,16.853,17.991
101,0.3774,13.5949,0.07491,9.847,10.749,11.652,12.6,13.595,14.637,15.728,16.868,18.008
102,0.3759,13.6061,0.07493,9.855,10.758,11.661,12.61,13.606,14.65,15.742,16.883,18.025
103,0.3744,13.6172,0.07494,9.863,10.767,11.671,12.62,13.617,14.662,15.755,16.898,18.041
104,0.3729,13.6283,0.07496,9.871,10.776,11.68,12.631,13.628,14.674,15.769,16.913,18.058
105,0.3714,13.6392,0.07498,9.879,10.784,11.689,12.64,13.639,14.686,15.782,16.928,18.074
106,0.3699,13.6501,0.07499,9.887,10.793,11.698,12.651,13.65,14.698,15.795,16.943,18.09
107,0.3684,13.6609,0.07501,9.895,10.801,11.707,12.66,13.661,14.71,15.809,16.958,18.107
108,0.3669,13.6716,0.07502,9.903,10.809,11.716,12.67,13.672,14.722,15.822,16.972,18.123
109,0.3655,13.6822,0.07504,9.91,10.818,11.725,12.68,13.682,14.734,15.835,16.987,18.139
110,0.364,13.6927,0.07505,9.918,10.826,11.734,12.689,13.693,14.745,15.847,17.001,18.154
111,0.3626,13.7031,0.07507,9.925,10.834,11.743,12.699,13.703,14.757,15.86,17.015,18.17
112,0.3611,13.7134,0.07509,9.932,10.842,11.751,12.708,13.713,14.768,15.873,17.03,18.186
113,0.3597,13.7237,0.0751,9.94,10.85,11.76,12.718,13.724,14.779,15.886,17.043,18.201
114,0.3583,13.7339,0.07512,9.947,10.858,11.769,12.727,13.734,14.791,15.898,17.058,18.217
115,0.3569,13.7439,0.07513,9.955,10.866,11.777,12.736,13.744,14.802,15.91,17.071,18.232
