Day,L,M,S,SD4neg,SD3neg,SD2neg,SD1neg,SD0,SD1,SD2,SD3,SD4
91,-0.1733,13.0245,0.08262,9.37,10.218,11.066,11.999,13.024,14.155,15.402,16.78,18.158
92,-0.1733,13.0371,0.08264,9.378,10.227,11.077,12.01,13.037,14.169,15.417,16.797,18.177
93,-0.1733,13.0496,0.08265,9.386,10.237,11.087,12.021,13.05,14.182,15.432,16.814,18.195
94,-0.1733,13.062,0.08266,9.395,10.246,11.097,12.033,13.062,14.196,15.447,16.83,18.213
95,-0.1733,13.0744,0.08267,9.404,10.256,11.108,12.044,13.074,14.21,15.462,16.847,18.231
96,-0.1733,13.0866,0.08269,9.412,10.265,11.118,12.055,13.087,14.223,15.477,16.863,18.249
97,-0.1733,13.0987,0.0827,9.42,10.274,11.128,12.066,13.099,14.237,15.492,16.88,18.267
98,-0.1733,13.1107,0.08271,9.428,10.283,11.138,12.077,13.111,14.25,15.507,16.896,18.285
99,-0.1733,13.1226,0.08273,9.436,10.292,11.147,12.088,13.123,14.263,15.521,16.912,18.303
100,-0.1733,13.1345,0.08274,9.444,10.301,11.157,12.099,13.134,14.276,15.536,16.928,18.32
101,-0.1733,13.1462,0.08275,9.452,10.31,11.167,12.109,13.146,14.289,15.55,16.943,18.337
102,-0.1733,13.1578,0.08276,9.46,10.318,11.177,12.12,13.158,14.302,15.564,16.959,18.354
103,-0.1733,13.1693,0.08277,9.468,10.327,11.186,12.13,13.169,14.314,15.578,16.974,18.371
104,-0.1733,13.1806,0.08279,9.475,10.335,11.195,12.14,13.181,14.327,15.592,16.99,18.388
105,-0.1733,13.1919,0.0828,9.483,10.344,11.205,12.151,13.192,14.339,15.606,17.005,18.404
106,-0.1733,13.2031,0.08281,9.491,10.352,11.214,12.161,13.203,14.352,15.619,17.02,18.421
107,-0.1733,13.2142,0.08282,9.498,10.361,11.223,12.171,13.214,14.364,15.633,17.035,18.437
108,-0.1733,13.2251,0.08283,9.506,10.369,11.232,12.181,13.225,14.376,15.646,17.049,18.453
109,-0.1733,13.236,0.08284,9.513,10.377,11.241,12.191,13.236,14.388,15.659,17.064,18.469
110,-0.1733,13.2467,0.08286,9.52,10.385,11.25,12.201,13.247,14.4,15.672,17.079,18.485
111,-0.1733,13.2574,0.08287,9.528,10.393,11.259,12.21,13.257,14.412,15.685,17.093,18.501
112,-0.1733,13.2679,0.08288,9.535,10.401,11.268,12.22,13.268,14.423,15.698,17.107,18.517
113,-0.1733,13.2783,0.08289,9.542,10.409,11.276,12.229,13.278,14.435,15.711,17.121,18.532
114,-0.1733,13.2886,0.0829,9.549,10.417,11.285,12.239,13.289,14.446,15.723,17.135,18.547
115,-0.1733,13.2988,0.08291,9.556,10.424,11.293,12.248,13.299,14.457,15.736,17.149,18.562
116,-0.1733,13.3089,0.08292,9.563,10.432,11.301,12.257,13.309,14.468,15.748,17.162,18.577
117,-0.1733,13.3189,0.08293,9.57,10.44,11.31,12.266,13.319,14.479,15.76,17.176,18.591
118,-0.1733,13.3288,0.08294,9.576,10.447,11.318,12.275,13.329,14.49,15.772,17.189,18.606
119,-0.1733,13.3386,0.08296,9.583,10.454,11.326,12.284,13.339,14.501,15.784,17.203,18.621
120,-0.1733,13.3482,0.08297,9.589,10.461,11.334,12.293,13.348,14.512,15.796,17.216,18.635
121,-0.1733,13.3578,0.08298,9.596,10.469,11.342,12.301,13.358,14.522,15.808,17.229,18.65
122,-0.1733,13.3672,0.08299,9.602,10.476,11.349,12.31,13.367,14.533,15.819,17.241,18.663
123,-0.1733,13.3766,0.083,9.608,10.483,11.357,12.318,13.377,14.543,15.831,17.254,18.677
124,-0.1733,13.3858,0.08301,9.615,10.49,11.365,12.327,13.386,14.553,15.842,17.266,18.691
125,-0.1733,13.3949,0.08302,9.621,10.496,11.372,12.335,13.395,14.563,15.853,17.279,18.704
126,-0.1733,13.4039,0.08303,9.627,10.503,11.38,12.343,13.404,14.573,15.864,17.291,18.718
127,-0.1733,13.4129,0.08304,9.633,10.51,11.387,12.351,13.413,14.583,15.875,17.303,18.731
128,-0.1733,13.4217,0.08305,9.639,10.517,11.394,12.359,13.422,14.593,15.886,17.315,18.744
129,-0.1733,13.4304,0.08306,9.645,10.523,11.402,12.367,13.43,14.602,15.896,17.327,18.757
130,-0.1733,13.439,0.08307,9.65,10.53,11.409,12.375,13.439,14.612,15.907,17.338,18.77
131,-0.1733,13.4475,0.08308,9.656,10.536,11.416,12.383,13.448,14.621,15.917,17.35,18.782
132,-0.1733,13.4559,0.08308,9.662,10.542,11.423,12.391,13.456,14.63,15.927,17.361,18.794
133,-0.1733,13.4642,0.08309,9.668,10.549,11.43,12.398,13.464,14.64,15.937,17.372,18.806
134,-0.1733,13.4724,0.0831,9.673,10.555,11.436,12.405,13.472,14.649,15.947,17.383,18.819
135,-0.1733,13.4805,0.08311,9.679,10.561,11.443,12.413,13.48,14.658,15.957,17.394,18.831
136,-0.1733,13.4886,0.08312,9.684,10.567,11.45,12.42,13.489,14.667,15.967,17.405,18.843
137,-0.1733,13.4965,0.08313,9.689,10.573,11.456,12.427,13.496,14.675,15.977,17.416,18.855
138,-0.1733,13.5043,0.08314,9.695,10.579,11.462,12.434,13.504,14.684,15.986,17.426,18.866
139,-0.1733,13.5121,0.08315,9.7,10.584,11.469,12.441,13.512,14.693,15.996,17.437,18.878
140,-0.1733,13.5197,0.08316,9.705,10.59,11.475,12.448,13.52,14.701,16.005,17.447,18.889
141,-0.1733,13.5273,0.08316,9.71,10.596,11.482,12.455,13.527,14.709,16.014,17.457,18.9
142,-0.1733,13.5348,0.08317,9.715,10.602,11.488,12.462,13.535,14.718,16.023,17.467,18.911
143,-0.1733,13.5422,0.08318,9.72,10.607,11.494,12.469,13.542,14.726,16.032,17.477,18.922
144,-0.1733,13.5495,0.08319,9.725,10.612,11.5,12.475,13.55,14.734,16.041,17.487,18.933
145,-0.1733,13.5567,0.0832,9.73,10.618,11.506,12.482,13.557,14.742,16.05,17.497,18.944
146,-0.1733,13.5638,0.08321,9.735,10.623,11.511,12.488,13.564,14.75,16.059,17.507,18.955
147,-0.1733,13.5709,0.08321,9.74,10.629,11.517,12.495,13.571,14.757,16.067,17.516,18.965
148,-0.1733,13.5778,0.08322,9.744,10.634,11.523,12.501,13.578,14.765,16.076,17.526,18.975
149,-0.1733,13.5847,0.08323,9.749,10.639,11.529,12.507,13.585,14.773,16.084,17.535,18.986
150,-0.1733,13.5915,0.08324,9.753,10.644,11.534,12.513,13.592,14.78,16.093,17.544,18.996
151,-0.1733,13.5983,0.08324,9.758,10.649,11.54,12.52,13.598,14.788,16.101,17.553,19.005
152,-0.1733,13.6049,0.08325,9.763,10.654,11.545,12.526,13.605,14.795,16.109,17.562,19.015
153,-0.1733,13.6115,0.08326,9.767,10.659,11.551,12.532,13.612,14.802,16.117,17.571,19.025
154,-0.1733,13.618,0.08327,9.771,10.664,11.556,12.537,13.618,14.81,16.125,17.58,19.035
155,-0.1733,13.6244,0.08327,9.776,10.669,11.561,12.543,13.624,14.816,16.133,17.588,19.044
156,-0.1733,13.6308,0.08328,9.78,10.673,11.567,12.549,13.631,14.824,16.141,17.597,19.054
157,-0.1733,13.6371,0.08329,9.784,10.678,11.572,12.555,13.637,14.831,16.148,17.606,19.063
158,-0.1733,13.6433,0.08329,9.789,10.683,11.577,12.56,13.643,14.837,16.156,17.614,19.072
159,-0.1733,13.6494,0.0833,9.793,10.687,11.582,12.566,13.649,14.844,16.163,17.622,19.081
160,-0.1733,13.6555,0.08331,9.797,10.692,11.587,12.571,13.656,14.851,16.171,17.631,19.091
161,-0.1733,13.6616,0.08331,9.801,10.697,11.592,12.577,13.662,14.858,16.178,17.639,19.099
162,-0.1733,13.6675,0.08332,9.805,10.701,11.597,12.582,13.668,14.864,16.185,17.647,19.108
163,-0.1733,13.6734,0.08333,9.809,10.705,11.602,12.588,13.673,14.871,16.193,17.655,19.117
164,-0.1733,13.6792,0.08333,9.813,10.71,11.607,12.593,13.679,14.877,16.2,17.662,19.125
